Type_of_House,Property_Type,Price,Brokerage,Location,Furnish,Area_in_sqft,Bathrooms
2 BHK,Flat,28000,18000,Kondapur,Semi Furnished,1150,1
2 BHK,Flat,38000,25000,Kondapur,Fully Furnished,1250,1
1 BHK,Flat,16000,9000,Kondapur,Unfurnished,850,1
2 BHK,Flat,28000,20000,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,37000,18500,Kondapur,Fully Furnished,1300,1
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1250,1
1 BHK,Flat,16000,8000,Kondapur,Semi Furnished,650,1
2 BHK,Flat,33000,16500,Kondapur,Fully Furnished,1100,1
1 BHK,Flat,16000,12000,Kondapur,Unfurnished,750,1
1 BHK,Flat,24000,17000,Kondapur,Fully Furnished,750,1
2 BHK,Flat,28000,20000,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,25000,18000,Kondapur,Semi Furnished,1150,1
2 BHK,Flat,35000,23000,Kondapur,Semi Furnished,1200,1
1 BHK,Flat,16000,13000,Kondapur,Semi Furnished,650,1
4 BHK,Villa,80000,80000,Tellapur,Fully Furnished,6000,4
2 BHK,Flat,31000,20000,Kondapur,Semi Furnished,1200,1
1 BHK,Flat,15000,12000,Kondapur,Unfurnished,750,1
2 BHK,Flat,28000,20000,Kondapur,Semi Furnished,1400,1
2 BHK,Flat,30000,20000,Kondapur,Semi Furnished,1200,1
1 BHK,Flat,17000,10000,Kondapur,Semi Furnished,815,1
1 BHK,Flat,13000,8500,Kondapur,Semi Furnished,864,1
2 BHK,Flat,21001,13500,Kondapur,Unfurnished,1200,1
2 BHK,Flat,31000,19000,Kondapur,Semi Furnished,1235,1
2 BHK,Flat,34000,21000,Kondapur,Semi Furnished,1257,1
1 BHK,Flat,13000,9000,Kondapur,Unfurnished,750,1
2 BHK,Flat,24000,16000,Kondapur,Semi Furnished,1200,1
1 RK,Flat,14000,9000,Kondapur,Fully Furnished,750,1
1 BHK,Flat,21000,14500,Kondapur,Fully Furnished,750,1
1 BHK,Flat,23000,16000,Kondapur,Fully Furnished,750,1
1 RK,Flat,11000,7500,Kondapur,Semi Furnished,750,1
1 BHK,Flat,20000,12000,Kondapur,Semi Furnished,750,1
2 BHK,Flat,25000,16000,Kondapur,Semi Furnished,1234,1
1 BHK,Flat,16001,10500,Kondapur,Semi Furnished,654,1
3 BHK,Flat,48000,29000,Kondapur,Semi Furnished,1453,2
1 RK,Flat,10000,7500,Kondapur,Semi Furnished,750,1
1 BHK,Flat,15500,10000,Kondapur,Unfurnished,782,1
1 BHK,Flat,23000,23000,Madhapur,Fully Furnished,700,1
2 BHK,Flat,38000,38000,Madhapur,Fully Furnished,1200,2
1 BHK,Flat,17500,8750,Madhapur,Semi Furnished,700,1
1 BHK,Flat,16000,11000,Kondapur,Semi Furnished,753,1
2 BHK,Flat,33000,16500,Kondapur,Semi Furnished,1200,1
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,512,1
1 BHK,Flat,21000,10500,Kondapur,Semi Furnished,520,1
1 BHK,Flat,25000,12500,Hafeezpet,Fully Furnished,550,1
2 BHK,Flat,23500,14000,Kondapur,Semi Furnished,685,2
1 BHK,Flat,15000,9500,Kondapur,Unfurnished,642,1
3 BHK,Flat,38000,19000,Kondapur,Semi Furnished,1400,2
1 BHK,Flat,17000,11000,Kondapur,Semi Furnished,642,1
1 BHK,Flat,18500,11000,Kondapur,Semi Furnished,682,1
1 BHK,Flat,19000,10000,Kondapur,Semi Furnished,663,1
1 BHK,Flat,14000,8000,Kondapur,Unfurnished,700,1
3 BHK,Flat,47000,23500,Kondapur,Semi Furnished,1500,3
1 RK,Flat,11000,5500,Kondapur,Unfurnished,500,1
1 RK,Flat,17000,12000,Kondapur,Fully Furnished,542,1
2 BHK,Flat,36000,18000,Kondapur,Fully Furnished,1400,2
1 BHK,Flat,23000,14000,Kondapur,Fully Furnished,742,1
1 BHK,Flat,19000,13000,Kondapur,Semi Furnished,721,1
1 BHK,Flat,18000,10000,Kondapur,Unfurnished,700,1
1 BHK,Flat,15000,10000,Kondapur,Unfurnished,751,1
1 BHK,Flat,15000,10000,Kondapur,Unfurnished,742,1
1 BHK,Flat,18000,10000,Kondapur,Unfurnished,792,1
1 RK,Flat,13000,8000,Kondapur,Unfurnished,512,1
1 BHK,Flat,25000,16000,Kondapur,Fully Furnished,758,1
1 BHK,Flat,16000,10000,Kondapur,Unfurnished,751,1
2 BHK,Flat,30000,16500,Kondapur,Semi Furnished,1100,2
1 BHK,Flat,25000,15000,Kondapur,Fully Furnished,681,1
1 BHK,Flat,15001,10000,Kondapur,Unfurnished,675,1
1 BHK,Flat,16500,11000,Kondapur,Semi Furnished,784,1
1 BHK,Flat,19000,17000,Kondapur,Semi Furnished,1200,1
2 BHK,Flat,28000,17000,Kondapur,Semi Furnished,1200,1
1 BHK,Flat,23000,14000,Kondapur,Fully Furnished,812,1
1 RK,Flat,10000,8000,Kondapur,Unfurnished,512,1
1 BHK,Flat,19500,14000,Kondapur,Semi Furnished,1400,1
1 BHK,Flat,23000,11000,Kondapur,Fully Furnished,752,1
2 BHK,Flat,32000,16000,Kondapur,Semi Furnished,1200,2
1 BHK,Flat,13500,9000,Kondapur,Semi Furnished,650,1
1 BHK,Flat,15500,8500,Kondapur,Semi Furnished,630,1
1 BHK,Flat,16500,9500,Kondapur,Semi Furnished,610,1
3 BHK,Flat,50000,26000,Kondapur,Fully Furnished,1700,2
2 BHK,Flat,24000,14000,Kondapur,Unfurnished,1100,2
1 BHK,Flat,18000,9000,Kondapur,Semi Furnished,612,1
2 BHK,Flat,31000,17500,Kondapur,Semi Furnished,1200,1
1 BHK,Flat,21000,10000,Kondapur,Semi Furnished,751,1
2 BHK,Flat,30000,30000,Kondapur,Semi Furnished,1250,2
3 BHK,Flat,60000,60000,Osman Nagar,Fully Furnished,2250,3
3 BHK,Flat,39000,39000,Manikonda,Semi Furnished,2790,3
5 BHK,Flat,120000,120000.0,Tellapur,Semi Furnished,5000,5
2 BHK,Flat,28000,28000,Kondapur,Semi Furnished,1636,2
4 BHK,Flat,80000,80000,Hitech City,Fully Furnished,5000,3
3 BHK,Flat,40000,28000,Kondapur,Semi Furnished,1600,2
2 BHK,Flat,37000,25000,Kondapur,Fully Furnished,1120,1
2 BHK,Flat,36500,25000,Kondapur,Fully Furnished,1120,1
2 BHK,Flat,27500,18000,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,35000,25000,Kondapur,Fully Furnished,1120,1
2 BHK,Flat,27000,22000,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,31000,22000,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,40000,26000,Kondapur,Fully Furnished,1250,1
2 BHK,Flat,42000,26000,Kondapur,Fully Furnished,1250,1
2 BHK,Flat,40000,28000,Kondapur,Fully Furnished,1400,1
1 BHK,Flat,23000,13000,Kondapur,Unfurnished,653,1
3 BHK,Flat,43000,29000,Serilingampally,Fully Furnished,1453,3
3 BHK,Flat,50000,30000,Serilingampally,Fully Furnished,1200,2
1 BHK,Flat,23000,9000,Kondapur,Unfurnished,654,1
2 BHK,Flat,28000,19000,Serilingampally,Semi Furnished,1200,2
2 BHK,Flat,35000,24000,Kondapur,Fully Furnished,1250,1
3 BHK,Flat,40000,30000,Kondapur,Semi Furnished,1856,2
2 BHK,Flat,35000,25000,Kondapur,Fully Furnished,1120,1
2 BHK,Flat,26000,18000,Kondapur,Semi Furnished,1095,1
3 BHK,Flat,95000,95000,Kokapet,Fully Furnished,3000,3
1 BHK,Flat,24000,16500,Hafeezpet,Fully Furnished,750,1
1 BHK,Flat,24000,14500,Kondapur,Fully Furnished,753,1
1 BHK,Flat,27000,27000,Kondapur,Fully Furnished,800,1
3 BHK,Flat,40000,40000,Kondapur,Semi Furnished,1800,3
2 BHK,Flat,35000,35000,Madhapur,Semi Furnished,1600,2
2 BHK,Flat,38000,38000,Madhapur,Fully Furnished,1200,2
2 BHK,Flat,37000,37000,Madhapur,Fully Furnished,1250,2
3 BHK,Flat,33000,21000,Kondapur,Semi Furnished,1454,2
1 BHK,Flat,19000,9000,Kondapur,Semi Furnished,570,1
1 BHK,Flat,21001,15000,Kondapur,Semi Furnished,560,1
1 BHK,Flat,19000,14000,Kondapur,Semi Furnished,560,1
1 RK,Flat,13000,7500,Kondapur,Semi Furnished,512,1
1 BHK,Flat,24500,16500,Kondapur,Fully Furnished,650,1
1 BHK,Flat,24500,18000,Kondapur,Fully Furnished,650,1
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1150,2
1 BHK,Flat,23000,11500,Kondapur,Fully Furnished,700,1
1 BHK,Flat,14000,7000,Kondapur,Unfurnished,700,1
1 BHK,Flat,23000,11500,Kondapur,Fully Furnished,700,1
1 BHK,Flat,24500,12250,Kondapur,Fully Furnished,750,1
1 BHK,Flat,17000,7500,Kondapur,Semi Furnished,600,1
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,700,1
1 BHK,Flat,16000,8000,Kondapur,Unfurnished,600,1
2 BHK,Flat,25000,12500,Kondapur,Semi Furnished,1150,1
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,38000,19000,Kondapur,Fully Furnished,1150,1
2 BHK,Flat,36000,18000,Kondapur,Fully Furnished,1250,2
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1150,1
2 BHK,Flat,25000,18000,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,28000,18000,Kondapur,Semi Furnished,1250,1
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,1150,1
3 BHK,Flat,38000,19000,Kondapur,Semi Furnished,1652,2
3 BHK,Flat,38000,20000,Kondapur,Semi Furnished,1500,2
2 BHK,Flat,37000,19500,Kondapur,Fully Furnished,1300,1
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,1250,2
3 BHK,Flat,35000,17500,Kondapur,Semi Furnished,1685,2
3 BHK,Flat,40000,28000,Kondapur,Semi Furnished,1500,2
3 BHK,Flat,42000,30000,Kondapur,Semi Furnished,1600,2
2 BHK,Flat,43000,21500,Kondapur,Fully Furnished,1250,1
1 BHK,Flat,26000,13000,Kondapur,Fully Furnished,389,1
2 BHK,Flat,40000,20000,Kondapur,Fully Furnished,1253,2
2 BHK,Flat,25000,45000,Kondapur,Unfurnished,1283,1
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1245,1
